brand,name,category,form,market,size_value,size_unit,pack_count,canonical_name,gtin,gtin_type,verified,segment,flag
Anessa,Perfect UV Sunscreen Skincare Milk N SPF50+ PA++++,skincare,sunscreen milk,JP,60,ml,1,Anessa Perfect UV Sunscreen Skincare Milk N SPF50+ PA++++ 60ml (JP),4909978120757,jan,false,beauty,clean
Bioré,UV Aqua Rich Watery Essence SPF50+ PA++++,skincare,sunscreen essence gel,JP,70,g,1,Bioré UV Aqua Rich Watery Essence SPF50+ PA++++ 70g (JP),4901301447647,jan,false,beauty,clean
Melano CC,Medicated Intensive Anti-Spot Essence,skincare,serum,JP,20,ml,1,Melano CC Medicated Intensive Anti-Spot Essence 20ml (JP),4987241169658,jan,false,beauty,clean
Hada Labo,Gokujyun Hyaluronic Acid Lotion (Moist),skincare,toner lotion,JP,170,ml,1,Hada Labo Gokujyun Hyaluronic Acid Lotion (Moist) 170ml (JP),4987241155712,jan,false,beauty,variant-check
Suisai,Beauty Clear Powder Wash N,skincare,enzyme cleansing powder capsules,JP,0.4,g,32,Suisai Beauty Clear Powder Wash N 0.4g (JP),4973167823859,jan,false,beauty,clean
Senka,Perfect Whip Facial Cleansing Foam,skincare,cleansing foam,JP,120,g,1,Senka Perfect Whip Facial Cleansing Foam 120g (JP),4901872444915,jan,false,beauty,clean
Canmake,Marshmallow Finish Powder MO (Matte Ochre) SPF50,cosmetics,pressed face powder,JP,10,g,1,Canmake Marshmallow Finish Powder MO (Matte Ochre) SPF50 10g (JP),4901008304533,jan,false,beauty,price-needed
Cezanne,UV Clear Face Powder 01 Light SPF28,cosmetics,pressed face powder,JP,10,g,1,Cezanne UV Clear Face Powder 01 Light SPF28 10g (JP),4939553040309,jan,false,beauty,price-needed
Kate,Lip Monster 103 (Hidden Flame),cosmetics,lipstick,JP,3,g,1,Kate Lip Monster 103 (Hidden Flame) 3g (JP),4973167300886,jan,false,beauty,price-needed
Curél,Intensive Moisture Care Facial Lotion III Enrich,skincare,toner lotion,JP,150,ml,1,Curél Intensive Moisture Care Facial Lotion III Enrich 150ml (JP),4901301236180,jan,false,beauty,variant-check
